sample_id,prediction,ground_truth,is_correct,caption
kzpjirsbmd,0,-1,False,
uqeffhtigd,4,-1,False,
ddcvvptayr,1,-1,False,
wpufzecwyo,0,-1,False,
itrfcqeoji,2,-1,False,
ihdaxfpqmr,0,-1,False,
fookndrlyg,0,-1,False,
nchdoduepw,2,-1,False,
qrawihjcmv,0,-1,False,
iewoxahcea,1,-1,False,
iachvssayv,0,-1,False,
emgtqxeciy,4,-1,False,
gnohnkomnx,2,-1,False,
raxowgozjw,2,-1,False,
eblrkufyvo,2,-1,False,
kqvbdrulnt,4,-1,False,
ljfgkypghe,0,-1,False,
yrlrybyxor,4,-1,False,
gyllxuehde,2,-1,False,
wopfcsazyh,1,-1,False,
eljuwvmetw,3,-1,False,
ojvrfcolsj,2,-1,False,
iafiwyjkla,0,-1,False,
aljymnrxxr,1,-1,False,
bupsfsbvjz,3,-1,False,
imvttbcgzy,2,-1,False,
ccccndxxlz,0,-1,False,
otxqnrofxp,2,-1,False,
qrqzqrampb,3,-1,False,
xswlwtunft,0,-1,False,
wsnznszkrw,0,-1,False,
bmsrpeblan,2,-1,False,
bfsyghuhvg,1,-1,False,
xbmdgzuvqo,0,-1,False,
xqhhciynkv,0,-1,False,
ckteceitus,4,-1,False,
bzpqlyshfd,2,-1,False,
mqvtuvhnhs,0,-1,False,
rnsxxenudp,0,-1,False,
apdjncdxel,0,-1,False,
jduotoiwtp,2,-1,False,
rwkmtqjoqt,0,-1,False,
cttqmosrzx,2,-1,False,
whtfvblhua,3,-1,False,
cqimhqmllp,4,-1,False,
ebodzkwcqu,0,-1,False,
xtajpceqcz,4,-1,False,
zwbtiqbxcj,1,-1,False,
mugwzknlde,3,-1,False,
zthphinpam,1,-1,False,
oyuvgibgdz,0,-1,False,
xwlsawwlss,1,-1,False,
axbjtaqeja,1,-1,False,
tkfmtxjskq,2,-1,False,
vpqmkforkr,0,-1,False,
rjkdckvjjo,4,-1,False,
dneesssydd,3,-1,False,
sdcrgqielc,3,-1,False,
ugaugwjizc,4,-1,False,
umioylxsqo,2,-1,False,
lnehqnsvzf,1,-1,False,
wmxevdxhoz,1,-1,False,
fcwusjnwzz,4,-1,False,
bzkhezsgcy,3,-1,False,
zbygcoqazp,3,-1,False,
psmrqwnrbz,2,-1,False,
vdeyznbiue,0,-1,False,
cqxlbdnhck,1,-1,False,
tonigyqdln,0,-1,False,
coyyjugfrb,2,-1,False,
ivewnzmcot,0,-1,False,
icgswkgupm,0,-1,False,
puxvvcvurz,0,-1,False,
jtkrobeapv,0,-1,False,
vqifxvkots,4,-1,False,
jnwxzrvwpe,2,-1,False,
nffvjtvwwt,0,-1,False,
jvlvewufqr,1,-1,False,
lfobiooihi,4,-1,False,
nxddybaevu,1,-1,False,
myltavxepp,4,-1,False,
qxuppzfthw,3,-1,False,
fntaspxhwq,3,-1,False,
qfrfkrnohz,1,-1,False,
ypwegeuiqo,3,-1,False,
iywzzcsdzr,4,-1,False,
gpikjkrses,3,-1,False,
fplqqzxifl,1,-1,False,
izwhpfzqbk,1,-1,False,
cxqgmnokfl,3,-1,False,
jedmqsjfcb,0,-1,False,
mdlltizbxo,2,-1,False,
rslozretcc,0,-1,False,
bdxbrffzap,0,-1,False,
yxwgwjmvul,1,-1,False,
bdmbcnmfwt,3,-1,False,
fujcpdjzmp,4,-1,False,
jkozgqplpd,2,-1,False,
ckttpwanuf,1,-1,False,
wuwzfwxdcd,3,-1,False,
bfifqmtsua,1,-1,False,
wtbyfupoag,3,-1,False,
uktmtmsdll,3,-1,False,
aesweydqlc,2,-1,False,
dlyrntxehf,3,-1,False,
pxxbweqgrk,4,-1,False,
jblrbawrld,2,-1,False,
godejamktm,4,-1,False,
twnfwolobx,0,-1,False,
qqwwtdnvxh,2,-1,False,
uiydbfompj,2,-1,False,
jdpexixzry,3,-1,False,
kymiynicpa,3,-1,False,
wfbgipudox,4,-1,False,
oqlbpsflfi,1,-1,False,
jknukddqvc,3,-1,False,
uxrzingcfe,2,-1,False,
ptxewwvams,3,-1,False,
bvgqzlmpob,4,-1,False,
niqciwsucp,4,-1,False,
djvvspqvjb,4,-1,False,
upstpbfime,1,-1,False,
zstukooovg,2,-1,False,
evhbswdgao,2,-1,False,
mqoyritvtd,4,-1,False,
rssedbolee,2,-1,False,
szrfoxslbc,3,-1,False,
onusgwwmpm,2,-1,False,
pesuiunmoc,0,-1,False,
blhtwcagup,4,-1,False,
fwjabkzbjl,3,-1,False,
rexssphzpz,2,-1,False,
vdrauxtcyx,3,-1,False,
svzgndrhue,3,-1,False,
fbwtxjxzsi,1,-1,False,
gcfotpwkoh,2,-1,False,
jregnvmvxf,0,-1,False,
mmmrpbuawf,1,-1,False,
edmvttkqmn,0,-1,False,
yfqdujuqtg,2,-1,False,
chmmedagqq,0,-1,False,
viwvuctufr,1,-1,False,
euftzahitz,3,-1,False,
qjuwqynnwm,0,-1,False,
awxzasqdqa,0,-1,False,
juejvzxula,3,-1,False,
okfbipdcmp,0,-1,False,
euypdasjpp,1,-1,False,
lwzrtucdyh,4,-1,False,
ikzmwxkkoi,4,-1,False,
fhntezsyft,1,-1,False,
ocpgtmfupd,0,-1,False,
gavauxhhwl,3,-1,False,
befbgdpgdb,2,-1,False,
ldvlrulbmi,3,-1,False,
voxufgsxlb,2,-1,False,
ceshqvoaaw,3,-1,False,
rdfutcierg,2,-1,False,
kiqstletsp,2,-1,False,
tyttmykaui,3,-1,False,
jhgkaywirq,1,-1,False,
svwnvxrjnz,2,-1,False,
ggxdxyphwt,1,-1,False,
bspfquxtym,4,-1,False,
cgqddxhrmg,2,-1,False,
ywmcjfshsm,1,-1,False,
khkibqhrum,1,-1,False,
qkcmvdfepk,1,-1,False,
hljforwjtz,0,-1,False,
enjtkoregu,1,-1,False,
emvyuszfdw,0,-1,False,
mbfmamizzo,3,-1,False,
gdocvguuta,3,-1,False,
twyhimkjoz,0,-1,False,
oxydqvgpmv,3,-1,False,
havgmkicyi,4,-1,False,
sjtbkryapo,4,-1,False,
ctbxmmtuqj,4,-1,False,
elyfryqatk,3,-1,False,
muckvrmkuw,0,-1,False,
okryttpwvl,1,-1,False,
prgpmusgrt,2,-1,False,
dymqavronb,2,-1,False,
njegkhmshp,0,-1,False,
sxsaiulwhb,0,-1,False,
qizcxncntf,2,-1,False,
usdpekxchl,3,-1,False,
jkdzqirzsi,1,-1,False,
gqltypuoyb,1,-1,False,
tfsxevolzf,3,-1,False,
guozeczkdb,0,-1,False,
suutkukeoc,0,-1,False,
dlwuzbmuiy,3,-1,False,
vekdhjdflw,4,-1,False,
ndzwduuyrx,2,-1,False,
grmlnejvee,0,-1,False,
jfwwwufzlq,3,-1,False,
jodowjwmiq,0,-1,False,
wxcgfmddcp,4,-1,False,
svmcytjzhw,0,-1,False,
vmxxjdgqhn,4,-1,False,
nowtpjbhjw,4,-1,False,
jjoxqtqknv,4,-1,False,
xijdsvrmml,2,-1,False,
tvgtudwdct,0,-1,False,
urfstmftdz,4,-1,False,
rbaymqycdi,3,-1,False,
jkcroalgjs,1,-1,False,
woulcqwmxz,4,-1,False,
efkotblape,3,-1,False,
currteicjc,3,-1,False,
kobdqyvxja,3,-1,False,
nocttahrit,3,-1,False,
zvxzhifzwd,3,-1,False,
vvldajumhm,2,-1,False,
qtfmrmbyfk,2,-1,False,
xzccmrmrki,4,-1,False,
ohrhjzzpgl,0,-1,False,
chrttxtjyw,3,-1,False,
xhfomiuwrh,4,-1,False,
afubjzdotf,0,-1,False,
uvwlczrmgn,4,-1,False,
ifxvgpxghx,3,-1,False,
lmqbvjifam,0,-1,False,
brqgsrefkq,1,-1,False,
zboeqnosbr,2,-1,False,
nhosizayzf,1,-1,False,
zrnyshrbmq,0,-1,False,
jubzzhpmdh,1,-1,False,
ytbvciovnp,3,-1,False,
edmlzkrlye,3,-1,False,
rnnrqemhig,2,-1,False,
uhiocwjhik,1,-1,False,
odvgwspcqo,3,-1,False,
idecfnorrq,1,-1,False,
mwqdajbvtc,1,-1,False,
hfvvcxwspd,0,-1,False,
pugyjkjuby,0,-1,False,
mkldcajoly,4,-1,False,
tfoqnromlh,2,-1,False,
kiewzjshfc,3,-1,False,
pmxfalvllu,3,-1,False,
cmxbnaocks,4,-1,False,
trkthucuow,2,-1,False,
bvkytetmef,0,-1,False,
dvhnzkxdpv,2,-1,False,
uadvlohutt,2,-1,False,
wxummhicnu,0,-1,False,
vndfzfrmqk,1,-1,False,
yzejbjwclo,0,-1,False,
yxcdxbhtej,2,-1,False,
fkcdieynfw,3,-1,False,
inrslbbspw,4,-1,False,
kucolcrxgb,4,-1,False,
jkfuxbxrqd,2,-1,False,
mcssbnvehj,2,-1,False,
pghirjhjyj,3,-1,False,
nhftwbtfwp,0,-1,False,
vzqjgbztqq,3,-1,False,
gwcbvhyjch,1,-1,False,
pzkvybbduz,1,-1,False,
gkpoktvjws,4,-1,False,
fctcvhmdsh,2,-1,False,
yyfsyfpzyy,1,-1,False,
jpweywpota,4,-1,False,
mvgjwmduwl,4,-1,False,
fcjwqmeyqs,4,-1,False,
dsqgevphdl,4,-1,False,
skdodqoaxe,3,-1,False,
poylqsdoqh,4,-1,False,
oteobhgvle,1,-1,False,
ceptnccihl,1,-1,False,
kfucwvuxko,0,-1,False,
bdqejffkwh,3,-1,False,
opksayxcxo,0,-1,False,
kwxrugggtw,0,-1,False,
egwvuajnvd,2,-1,False,
nrvpshpjcm,1,-1,False,
kkvdfknwpj,4,-1,False,
zdhggroenf,2,-1,False,
kntqdmsgib,1,-1,False,
jjqrkyadvk,0,-1,False,
werblsrene,2,-1,False,
sumvpqtwsi,4,-1,False,
ltuayjfltz,2,-1,False,
zclihxuptt,2,-1,False,
brmqyubgjo,1,-1,False,
nuecpziktw,0,-1,False,
rtbtbvduab,4,-1,False,
tibouacmvi,0,-1,False,
wsgkxwhvru,3,-1,False,
ttvwmbmkwh,3,-1,False,
eekcpsxbrm,4,-1,False,
xshpmczruj,4,-1,False,
fwytzfxobn,3,-1,False,
srsfmumlsu,0,-1,False,
ylzoxgawml,4,-1,False,
kzzlceiakm,0,-1,False,
xunlmommcv,0,-1,False,
flrrpijsly,2,-1,False,
sydzjrlnim,1,-1,False,
racyhfnppg,0,-1,False,
hunkafzisd,1,-1,False,
highghtley,0,-1,False,
vnrpbluvmz,4,-1,False,
dakudvzfxh,3,-1,False,
scdvnnllgk,3,-1,False,
qkwnnejmfy,4,-1,False,
hvhirzxbyh,1,-1,False,
qwdkptrcfg,2,-1,False,
oezovqrtky,4,-1,False,
ruczjromsn,1,-1,False,
lizmclmosh,2,-1,False,
qegkpxqjyk,0,-1,False,
umbjqbkrse,2,-1,False,
ivcfhfrcfa,3,-1,False,
vuucssicac,4,-1,False,
vprfiqtngr,0,-1,False,
ehouioivaz,3,-1,False,
lbhyphcilh,3,-1,False,
vreuldfrmq,1,-1,False,
vrexshcbxe,1,-1,False,
jstdkjourq,2,-1,False,
ruvkiypxux,0,-1,False,
hgwspibcvi,0,-1,False,
uikiizdius,4,-1,False,
xomkfpwplz,1,-1,False,
eydqvegxbo,0,-1,False,
xocmtjouef,0,-1,False,
gtqmqbbbew,3,-1,False,
bpltkpsipf,0,-1,False,
cbhthaqpak,1,-1,False,
uoeiehxrri,0,-1,False,
lvynxbjtjl,2,-1,False,
xzddkljemy,3,-1,False,
qdoobhqrmx,3,-1,False,
ssvpeorplk,0,-1,False,
wkqhfqczqf,0,-1,False,
mysbftkzth,2,-1,False,
pbcimenguz,1,-1,False,
awreibbrjw,2,-1,False,
sbwclqdjzv,4,-1,False,
vxrhxurmhq,2,-1,False,
styvkhjevq,1,-1,False,
eqmntesmnf,3,-1,False,
yyioqcqtch,1,-1,False,
uzjrqlwdbf,3,-1,False,
qhuhbdnkwp,3,-1,False,
nwlcsatqme,0,-1,False,
dbjmtnhfks,4,-1,False,
nfgzteibup,0,-1,False,
hvxvmzrlcz,4,-1,False,
wgwwpkplrz,0,-1,False,
gjgbsxrbxk,0,-1,False,
peoxtlnwrp,3,-1,False,
exyixdyakz,0,-1,False,
telychfpcv,1,-1,False,
xkgyfpqopj,0,-1,False,
unwiojgmpd,4,-1,False,
hcndottbjv,2,-1,False,
zikitwiraq,4,-1,False,
mmmnrgvfpe,3,-1,False,
ahrluwakay,1,-1,False,
gqkvwfkrav,1,-1,False,
bjlzblgvhv,2,-1,False,
icmqnyweye,3,-1,False,
zjxkzdocey,4,-1,False,
cbkcqhivpg,3,-1,False,
yeuvecqsat,0,-1,False,
kigvwkhime,3,-1,False,
kwkxlmeylq,4,-1,False,
gcnnkronbg,4,-1,False,
busstcpgqd,3,-1,False,
amwypdsrlk,1,-1,False,
vzobechyul,1,-1,False,
trfkwjjsiq,2,-1,False,
isbyyfpquo,4,-1,False,
oueeqfabvl,2,-1,False,
acandqdvol,0,-1,False,
hthrfpmckg,0,-1,False,
djnfoaxxiq,4,-1,False,
vqbifbjgzw,1,-1,False,
gxrggrqyir,2,-1,False,
zjxtholspy,3,-1,False,
uduubjzobs,0,-1,False,
gtivyxyvve,0,-1,False,
xvqcuvnqla,2,-1,False,
qpzzxfvcjq,1,-1,False,
vsooyjymqq,2,-1,False,
fdmmoimwpz,1,-1,False,
rihiptklfp,1,-1,False,
aufqppfcyp,2,-1,False,
mcrpfgimad,2,-1,False,
cxxdiuhoji,1,-1,False,
vkyybhbzkm,0,-1,False,
bbspqqfbqc,0,-1,False,
dvyearfnup,1,-1,False,
rnrmhholei,1,-1,False,
tseqdmwzdk,0,-1,False,
bmbsrglrjc,0,-1,False,
plvvumertb,0,-1,False,
vqyxsxshvk,1,-1,False,
iohcozrdbu,2,-1,False,
vxdvryiyuk,4,-1,False,
zzzwjwvbmm,3,-1,False,
cwypeqtpwu,4,-1,False,
padlzjhbhs,1,-1,False,
hqxqrswsho,4,-1,False,
sxvrgpgkja,1,-1,False,
vmyrbockik,4,-1,False,
gdqdtlyrqh,3,-1,False,
fsibdtnlxz,3,-1,False,
aieerizfdv,0,-1,False,
gyiqglwnjf,1,-1,False,
jwdujlthhe,4,-1,False,
dyjhjdbhnu,1,-1,False,
yjwkwbincp,3,-1,False,
mjyjofnjtb,0,-1,False,
dnobciukaw,0,-1,False,
ioqenchola,2,-1,False,
nyunxkthsr,1,-1,False,
qgzerkmsuy,4,-1,False,
xjeoqqcmlq,4,-1,False,
ufolxguxen,1,-1,False,
stbtxdygug,2,-1,False,
zsmcybykln,3,-1,False,
evppffvbbu,0,-1,False,
syjugkggji,4,-1,False,
hyqmoojsnj,4,-1,False,
knnjoxuxie,1,-1,False,
wukwdylrps,0,-1,False,
hbvkmzdmir,4,-1,False,
wehewkhyvm,1,-1,False,
rldyishznr,3,-1,False,
bpmnvdpwoc,0,-1,False,
cushrxxbfn,0,-1,False,
fvzsbyrour,4,-1,False,
lrfohsbedz,0,-1,False,
vvlfutbsuv,0,-1,False,
rmgqvpyret,3,-1,False,
tkyubbluew,4,-1,False,
brraczttuj,4,-1,False,
rpoctbnxkt,3,-1,False,
ncvnguetik,3,-1,False,
rcjgxxxlgn,0,-1,False,
bozsugktpq,2,-1,False,
aqdamebvbg,0,-1,False,
esslzknfak,2,-1,False,
vutkcyhvjh,0,-1,False,
jtcjyommva,4,-1,False,
wfggxpixsy,1,-1,False,
igfteyyucf,0,-1,False,
wloxcsdqeu,4,-1,False,
wupszhkmiz,1,-1,False,
lvufbmujxw,4,-1,False,
ipujglbvgd,4,-1,False,
ngnwyllmio,4,-1,False,
obfsnxmpam,2,-1,False,
ekplygfzma,0,-1,False,
xmlnkzehiu,3,-1,False,
qpsxknlzjj,2,-1,False,
txstrquwzb,4,-1,False,
yhnucwdagp,0,-1,False,
ecjzdqyrxq,0,-1,False,
fkhkkujwit,0,-1,False,
yjklmcynrc,3,-1,False,
afggbhbobl,4,-1,False,
gztnnbklrz,4,-1,False,
mairdolvxv,1,-1,False,
pewxxnditg,4,-1,False,
pwwsdtujbx,0,-1,False,
suwwotljkg,1,-1,False,
ccbfzircsh,1,-1,False,
fxnzupukfw,1,-1,False,
acuaexpvne,1,-1,False,
rhshacwubh,3,-1,False,
esrvzgejww,2,-1,False,
gatyiaoppr,0,-1,False,
ujtrcqufss,1,-1,False,
gxydbzvnty,0,-1,False,
ahgcdtbotv,3,-1,False,
adneixlyml,1,-1,False,
wnkiegykdc,3,-1,False,
utzhwfjrar,3,-1,False,
hlojgqjfdl,0,-1,False,
tcuzjlnarh,2,-1,False,
xirjaqwvnz,1,-1,False,
vxrcsnbacg,1,-1,False,
sxvkrragsv,3,-1,False,
mrpibyugjl,4,-1,False,
rayvunqnlb,2,-1,False,
kfztowlcnd,0,-1,False,
muffuvnmax,2,-1,False,
szmlffhskz,2,-1,False,
kmajnmycxr,2,-1,False,
oadfooangw,3,-1,False,
moyvxhxvsy,4,-1,False,
rredbastmr,4,-1,False,
xeibpworjr,4,-1,False,
ojoidcfzvj,3,-1,False,
ovosapdicm,1,-1,False,
vrkmyxezwx,1,-1,False,
gmrqupnvpn,3,-1,False,
qrpwsjpalk,4,-1,False,
girejowpda,0,-1,False,
rzdephkrzu,0,-1,False,
vnetdfpttb,1,-1,False,
bttthujpnr,4,-1,False,
afoswgocik,2,-1,False,
ndlvtgssuu,4,-1,False,
wwtbgkecwh,3,-1,False,
atlythkxcv,2,-1,False,
qrguvoklbh,4,-1,False,
wujgeqyhbz,4,-1,False,
vujokycaot,4,-1,False,
csuvbeezsj,4,-1,False,
krceehmwew,0,-1,False,
wqnhzpzyml,2,-1,False,
hfzwqobrhd,3,-1,False,
xouiwfaxkz,2,-1,False,
dhremolvxw,2,-1,False,
jxwjefxaws,4,-1,False,
lxecjkxnfg,2,-1,False,
ajsvmmwgcs,2,-1,False,
fesvmcexua,2,-1,False,
ldspwcexxq,0,-1,False,
fciymlvmms,0,-1,False,
ntuapurjuj,1,-1,False,
bfonpogkte,4,-1,False,
nusiirnslt,4,-1,False,
hdgzehzpal,4,-1,False,
ascaigbbzm,2,-1,False,
hxcndyuwdo,1,-1,False,
hsnfvvcqlc,0,-1,False,
quigeffltw,0,-1,False,
nffaexhvix,1,-1,False,
twgpkfmkjx,0,-1,False,
zjgyrblodt,2,-1,False,
ssmysgbrir,0,-1,False,
fxorwnradc,3,-1,False,
erbsrrkvdn,3,-1,False,
cbuysiugys,0,-1,False,
znkzqiajxj,0,-1,False,
ezggzbslri,0,-1,False,
tvjpzsrlcz,3,-1,False,
flkgodivpq,4,-1,False,
wqeouocxqd,2,-1,False,
ppgsfunahb,2,-1,False,
puaptbhwue,2,-1,False,
killrrzila,0,-1,False,
dmioulfllg,0,-1,False,
lrdwqdjcyf,3,-1,False,
zatphgsvpo,1,-1,False,
gvndgrwxyn,4,-1,False,
yeljprawpy,1,-1,False,
qdchxosskn,3,-1,False,
bxpilakzjj,2,-1,False,
jixvtekcsv,3,-1,False,
ismuldvhpa,4,-1,False,
haimhoyikj,4,-1,False,
oiyhuiyyqp,2,-1,False,
dxjqjvnkmw,3,-1,False,
uvucjwnxhb,0,-1,False,
mwhjvslprq,0,-1,False,
gqvhsufrxr,1,-1,False,
gdmgozgwkd,0,-1,False,
nyainhxvgy,3,-1,False,
ytsqchnjzm,3,-1,False,
cjvcidgxsp,4,-1,False,
qshwejnatl,1,-1,False,
ovzjxamiax,1,-1,False,
szxywsdnei,1,-1,False,
eujficulic,1,-1,False,
rsvbfkagse,0,-1,False,
cekucoovql,2,-1,False,
rxxrivjjhd,0,-1,False,
hnsmqcmjxk,3,-1,False,
yaneuhcwea,1,-1,False,
qorwabhqjk,1,-1,False,
xrblhucyub,3,-1,False,
zcqoqwlcsd,3,-1,False,
fstouxusnq,2,-1,False,
lqjcigurie,2,-1,False,
kmxstafgkk,0,-1,False,
yrraucgvuy,3,-1,False,
qenyeusfkc,4,-1,False,
snlrvfypyc,4,-1,False,
pbewicbhqn,2,-1,False,
ndaclrcttz,0,-1,False,
ctdvtymkpu,3,-1,False,
jxkystcbef,2,-1,False,
ddxreijtgw,3,-1,False,
hqyztzwvij,1,-1,False,
dknkvilevp,2,-1,False,
emrwhqrvzl,0,-1,False,
cetepynymh,3,-1,False,
fvkuchlhxj,4,-1,False,
ilshhizjcs,2,-1,False,
scddptzthc,4,-1,False,
datrqdgrlr,1,-1,False,
fbhwooqqtf,4,-1,False,
rsllihtgom,4,-1,False,
gmyrxiloom,2,-1,False,
vfrtolkrkl,0,-1,False,
zptaqeofhc,2,-1,False,
knenwgnqyt,1,-1,False,
ygxryzhean,2,-1,False,
kvvzmxfoet,2,-1,False,
vppzbuepeu,0,-1,False,
pfrubqbcvb,0,-1,False,
pgdecofwoc,1,-1,False,
edabyhegml,2,-1,False,
pjyzhtzlhu,3,-1,False,
akwzdjopak,2,-1,False,
jundebbjpd,3,-1,False,
qtjdgjhlfj,4,-1,False,
kdnwepchmc,0,-1,False,
tgosnmawgg,4,-1,False,
hxvudysxyk,0,-1,False,
wfdgqmzkzr,1,-1,False,
wuhdwyjvtz,1,-1,False,
qoazwtsqzn,4,-1,False,
fijovcuoiy,0,-1,False,
dzszblrnvl,0,-1,False,
oggvkjszvj,0,-1,False,
hqtargwuwr,2,-1,False,
nzklisjodp,1,-1,False,
yqimhysebq,3,-1,False,
llfixwcjam,0,-1,False,
ruljilqpod,1,-1,False,
ipecfninjp,0,-1,False,
peqoigzdkf,0,-1,False,
jqwinpphor,3,-1,False,
fklotixclk,2,-1,False,
dnspzsvoft,0,-1,False,
rphhjwezob,1,-1,False,
wyvzrcyyos,3,-1,False,
cpxwtzwjnt,3,-1,False,
idbccsxiyo,4,-1,False,
zztmvkvexa,1,-1,False,
sbeywvdcvl,2,-1,False,
purwufrfpj,2,-1,False,
vsrekzgybs,4,-1,False,
vmqjnbeegk,0,-1,False,
ydsvxdhxqa,1,-1,False,
nmybtxmxkm,2,-1,False,
tcmmtoqira,4,-1,False,
kljgytqpry,3,-1,False,
avhztvfyqe,2,-1,False,
poujzisblq,2,-1,False,
iietiiiaxd,4,-1,False,
rkyovdiefi,1,-1,False,
dpckiukiiu,4,-1,False,
xabmoxnfnp,0,-1,False,
apeuuabvmi,2,-1,False,
rfyjlkvqpy,2,-1,False,
pvicurmflm,3,-1,False,
essfeuqbse,0,-1,False,
pyhcjtrnig,3,-1,False,
pbjugkqcdf,2,-1,False,
nsmwunjdma,0,-1,False,
luqmvrkadi,4,-1,False,
vglncvktkv,0,-1,False,
bbjptuvpjr,4,-1,False,
zxpykglknb,1,-1,False,
hmtbagjgye,1,-1,False,
fyswremnko,1,-1,False,
zophlrmnfv,2,-1,False,
offssvexxp,2,-1,False,
qhuzrzamzw,3,-1,False,
umykzndadi,0,-1,False,
eczwodojvu,2,-1,False,
aighwclizd,4,-1,False,
iyzfjviebw,3,-1,False,
uowenfxqui,0,-1,False,
zpvlqjfvrf,4,-1,False,
jsvygftumn,1,-1,False,
pacmqohgsl,1,-1,False,
qvlruttjjv,1,-1,False,
putcqalkem,4,-1,False,
eofbimkgok,1,-1,False,
fsesvhdxiz,0,-1,False,
rdkhodiohe,3,-1,False,
tnfbdkggnw,4,-1,False,
wbqsqzsvte,3,-1,False,
phzzvmjocw,1,-1,False,
